hidden_layers,learning_rate,dropout_rate,batch_size,epochs,mean_loss,std_loss
"[16, 12, 8]",0.0001,0.1,64,200,0.22222566604614258,0.034058596604806035
"[16, 12, 8]",0.0001,0.2,16,200,0.16562606890996298,0.04346408982067466
"[16, 12, 8]",0.0001,0.2,32,200,0.18227955202261606,0.021733109411818396
"[16, 12, 8]",0.0001,0.2,64,200,0.3424285153547923,0.06093064847476549
"[16, 12, 8]",0.0001,0.3,16,200,0.16187002509832382,0.03470238839144181
"[16, 12, 8]",0.0001,0.3,32,200,0.22349453469117483,0.030435447287395955
"[16, 12, 8]",0.0001,0.3,64,200,0.25555890798568726,0.04329995152488697
"[24, 16, 8]",0.001,0.1,16,200,0.3335934231678645,0.35388505894568795
"[24, 16, 8]",0.001,0.1,32,200,0.24240259577830633,0.22420106004719564
"[24, 16, 8]",0.001,0.1,64,200,0.19592216610908508,0.15317905084791725
"[24, 16, 8]",0.001,0.2,16,200,0.3545936569571495,0.39418160177842876
"[24, 16, 8]",0.001,0.2,32,200,0.2695237162212531,0.2774039783019898
"[24, 16, 8]",0.001,0.2,64,200,0.1951985533038775,0.15596721765906066
"[24, 16, 8]",0.001,0.3,16,200,0.32772699122627574,0.35722257794979223
"[24, 16, 8]",0.001,0.3,32,200,0.24532044306397438,0.23245477863374536
"[24, 16, 8]",0.001,0.3,64,200,0.19630579153696695,0.1636898044736473
"[24, 16, 8]",0.0005,0.1,16,200,0.2437819093465805,0.2226307853299927
"[24, 16, 8]",0.0005,0.1,32,200,0.19257448986172676,0.1639557132102257
"[24, 16, 8]",0.0005,0.1,64,200,0.16791505614916483,0.11776419468419351
"[24, 16, 8]",0.0005,0.2,16,200,0.2518100713690122,0.245769207404191
"[24, 16, 8]",0.0005,0.2,32,200,0.16807961712280908,0.11990346311482236
"[24, 16, 8]",0.0005,0.2,64,200,0.16129144777854285,0.08661568693226376
"[24, 16, 8]",0.0005,0.3,16,200,0.17819206044077873,0.15154903225532265
"[24, 16, 8]",0.0005,0.3,32,200,0.15744957327842712,0.09694251860999885
"[24, 16, 8]",0.0005,0.3,64,200,0.1729414314031601,0.0768411095341865
"[24, 16, 8]",0.0001,0.1,16,200,0.1627503956357638,0.06309893434825707
"[24, 16, 8]",0.0001,0.1,32,200,0.17389973998069763,0.017756758182928333
"[24, 16, 8]",0.0001,0.1,64,200,0.18743853767712912,0.033795060520973266
"[24, 16, 8]",0.0001,0.2,16,200,0.15110067029794058,0.05954557042330221
"[24, 16, 8]",0.0001,0.2,32,200,0.16022777557373047,0.04180048568561582
"[24, 16, 8]",0.0001,0.2,64,200,0.18323671321074167,0.015198038385106525
"[24, 16, 8]",0.0001,0.3,16,200,0.15555104116598764,0.05527419523234108
"[24, 16, 8]",0.0001,0.3,32,200,0.16402557988961539,0.04837072648510191
"[24, 16, 8]",0.0001,0.3,64,200,0.2945975363254547,0.06819460215986486
