hidden_layers,learning_rate,dropout_rate,batch_size,epochs,mean_score,std_score
"[32, 24, 16]",0.001,0.2,32,50,0.9731286764144897,0.012553778812622995
"[32, 24, 16]",0.001,0.2,64,50,0.9731107950210571,0.01837502504661955
"[32, 24, 16]",0.001,0.3,16,50,0.9731465578079224,0.009199778983260881
"[32, 24, 16]",0.001,0.3,32,50,0.980463703473409,0.006983030350779959
"[32, 24, 16]",0.001,0.3,64,50,0.9706955750783285,0.01205135336713853
"[32, 24, 16]",0.0005,0.1,16,50,0.9731465578079224,0.009199778983260881
"[32, 24, 16]",0.0005,0.1,32,50,0.9682624936103821,0.009247361657757401
"[32, 24, 16]",0.0005,0.1,64,50,0.9731286764144897,0.012553778812622995
"[32, 24, 16]",0.0005,0.2,16,50,0.9682624936103821,0.009247361657757401
"[32, 24, 16]",0.0005,0.2,32,50,0.97801274061203,0.010449215270214892
"[32, 24, 16]",0.0005,0.2,64,50,0.9658115108807882,0.012578365009648975
"[32, 24, 16]",0.0005,0.3,16,50,0.9779948592185974,0.015917319260894812
"[32, 24, 16]",0.0005,0.3,32,50,0.9706955750783285,0.01205135336713853
"[32, 24, 16]",0.0005,0.3,64,50,0.9828968048095703,0.009199497821777043
"[32, 24, 16]",0.0001,0.1,16,50,0.9536460439364115,0.0036179978677711726
"[32, 24, 16]",0.0001,0.1,32,50,0.9438958168029785,0.015023134367624865
"[32, 24, 16]",0.0001,0.1,64,50,0.8975239793459574,0.012271906771585565
"[32, 24, 16]",0.0001,0.2,16,50,0.9487977623939514,0.021452516411301935
"[32, 24, 16]",0.0001,0.2,32,50,0.9487977623939514,0.021452516411301935
"[32, 24, 16]",0.0001,0.2,64,50,0.939065416653951,0.02933728461188125
"[32, 24, 16]",0.0001,0.3,16,50,0.9439136981964111,0.024061690219653997
"[32, 24, 16]",0.0001,0.3,32,50,0.9365965326627096,0.024058295320962604
"[32, 24, 16]",0.0001,0.3,64,50,0.8635143836339315,0.030269091905492443
